claim_id,claim_number,policy_id,customer_id,claim_status,incident_date,submitted_at,claim_amount,approved_amount,currency_code,description,updated_at,broker_id,claim_type_id,claim_type_code,incident_region_code,coverage_code,vehicle_code,outcome_severity,high_risk_claim
fclm_900001,FILE-CLM-900001,pol_6001,cus_4001,SUBMITTED,2026-08-20,2026-09-01T09:00:00Z,16008.27,,AUD,Synthetic home claim 1,2026-09-01T10:00:00Z,brk_2001,cty_3002,HO-THE-02,REG-001,COV-HO-002,,STANDARD,0
fclm_900002,FILE-CLM-900002,pol_6002,cus_4002,UNDER_REVIEW,2026-08-21,2026-09-02T10:01:00Z,51648.95,,AUD,Synthetic auto claim 2,2026-09-02T11:01:00Z,brk_2002,cty_3005,AU-COL-05,REG-008,COV-AU-005,VEH-00038,HIGH,1
fclm_900003,FILE-CLM-900003,pol_6003,cus_4003,APPROVED,2026-08-22,2026-09-03T11:02:00Z,7745.22,3365.13,AUD,Synthetic home claim 3,2026-09-03T12:02:00Z,brk_2003,cty_3010,HO-THE-10,REG-015,COV-HO-010,,STANDARD,0
fclm_900004,FILE-CLM-900004,pol_6001,cus_4001,REJECTED,2026-08-23,2026-09-04T12:03:00Z,7902.94,3991.83,AUD,Synthetic home claim 4,2026-09-04T13:03:00Z,brk_2001,cty_3002,HO-THE-02,REG-022,COV-HO-002,,STANDARD,0
fclm_900005,FILE-CLM-900005,pol_6002,cus_4002,PAID,2026-08-24,2026-09-05T13:04:00Z,10230.14,8373.04,AUD,Synthetic auto claim 5,2026-09-05T14:04:00Z,brk_2002,cty_3005,AU-COL-05,REG-029,COV-AU-005,VEH-00038,STANDARD,0
fclm_900006,FILE-CLM-900006,pol_6003,cus_4003,CLOSED,2026-08-25,2026-09-06T14:05:00Z,51774.10,32363.88,AUD,Synthetic home claim 6,2026-09-06T15:05:00Z,brk_2003,cty_3010,HO-THE-10,REG-036,COV-HO-010,,HIGH,1
fclm_900007,FILE-CLM-900007,pol_6001,cus_4001,SUBMITTED,2026-08-26,2026-09-07T15:06:00Z,25278.97,,AUD,Synthetic home claim 7,2026-09-07T16:06:00Z,brk_2001,cty_3002,HO-THE-02,REG-003,COV-HO-002,,STANDARD,0
fclm_900008,FILE-CLM-900008,pol_6002,cus_4002,UNDER_REVIEW,2026-08-27,2026-09-08T16:07:00Z,23142.83,,AUD,Synthetic auto claim 8,2026-09-08T17:07:00Z,brk_2002,cty_3005,AU-COL-05,REG-010,COV-AU-005,VEH-00038,STANDARD,0
fclm_900009,FILE-CLM-900009,pol_6003,cus_4003,APPROVED,2026-08-28,2026-09-01T09:08:00Z,2868.93,1687.47,AUD,Synthetic home claim 9,2026-09-01T10:08:00Z,brk_2003,cty_3010,HO-THE-10,REG-017,COV-HO-010,,STANDARD,0
fclm_900010,FILE-CLM-900010,pol_6001,cus_4001,REJECTED,2026-08-29,2026-09-02T10:09:00Z,38498.91,27988.04,AUD,Synthetic home claim 10,2026-09-02T11:09:00Z,brk_2001,cty_3002,HO-THE-02,REG-024,COV-HO-002,,STANDARD,0
fclm_900011,FILE-CLM-900011,pol_6002,cus_4002,PAID,2026-08-20,2026-09-03T11:10:00Z,12943.48,11594.55,AUD,Synthetic auto claim 11,2026-09-03T12:10:00Z,brk_2002,cty_3005,AU-COL-05,REG-031,COV-AU-005,VEH-00038,HIGH,1
fclm_900012,FILE-CLM-900012,pol_6003,cus_4003,CLOSED,2026-08-21,2026-09-04T12:11:00Z,34493.17,12270.07,AUD,Synthetic home claim 12,2026-09-04T13:11:00Z,brk_2003,cty_3010,HO-THE-10,REG-038,COV-HO-010,,STANDARD,0
fclm_900013,FILE-CLM-900013,pol_6001,cus_4001,SUBMITTED,2026-08-22,2026-09-05T13:12:00Z,10558.51,,AUD,Synthetic home claim 13,2026-09-05T14:12:00Z,brk_2001,cty_3002,HO-THE-02,REG-005,COV-HO-002,,STANDARD,0
fclm_900014,FILE-CLM-900014,pol_6002,cus_4002,UNDER_REVIEW,2026-08-23,2026-09-06T14:13:00Z,16585.43,,AUD,Synthetic auto claim 14,2026-09-06T15:13:00Z,brk_2002,cty_3005,AU-COL-05,REG-012,COV-AU-005,VEH-00038,STANDARD,0
fclm_900015,FILE-CLM-900015,pol_6003,cus_4003,APPROVED,2026-08-24,2026-09-07T15:14:00Z,6417.75,3719.67,AUD,Synthetic home claim 15,2026-09-07T16:14:00Z,brk_2003,cty_3010,HO-THE-10,REG-019,COV-HO-010,,STANDARD,0
fclm_900016,FILE-CLM-900016,pol_6001,cus_4001,REJECTED,2026-08-25,2026-09-08T16:15:00Z,5954.36,3635.51,AUD,Synthetic home claim 16,2026-09-08T17:15:00Z,brk_2001,cty_3002,HO-THE-02,REG-026,COV-HO-002,,STANDARD,0
fclm_900017,FILE-CLM-900017,pol_6002,cus_4002,PAID,2026-08-26,2026-09-01T09:16:00Z,30108.80,27453.39,AUD,Synthetic auto claim 17,2026-09-01T10:16:00Z,brk_2002,cty_3005,AU-COL-05,REG-033,COV-AU-005,VEH-00038,HIGH,1
fclm_900018,FILE-CLM-900018,pol_6003,cus_4003,CLOSED,2026-08-27,2026-09-02T10:17:00Z,6246.01,5933.56,AUD,Synthetic home claim 18,2026-09-02T11:17:00Z,brk_2003,cty_3010,HO-THE-10,REG-040,COV-HO-010,,STANDARD,0
fclm_900019,FILE-CLM-900019,pol_6001,cus_4001,SUBMITTED,2026-08-28,2026-09-03T11:18:00Z,2131.21,,AUD,Synthetic home claim 19,2026-09-03T12:18:00Z,brk_2001,cty_3002,HO-THE-02,REG-007,COV-HO-002,,STANDARD,0
fclm_900020,FILE-CLM-900020,pol_6002,cus_4002,UNDER_REVIEW,2026-08-29,2026-09-04T12:19:00Z,18525.20,,AUD,Synthetic auto claim 20,2026-09-04T13:19:00Z,brk_2002,cty_3005,AU-COL-05,REG-014,COV-AU-005,VEH-00038,STANDARD,0
fclm_900021,FILE-CLM-900021,pol_6003,cus_4003,APPROVED,2026-08-20,2026-09-05T13:20:00Z,3884.21,2225.11,AUD,Synthetic home claim 21,2026-09-05T14:20:00Z,brk_2003,cty_3010,HO-THE-10,REG-021,COV-HO-010,,STANDARD,0
fclm_900022,FILE-CLM-900022,pol_6001,cus_4001,REJECTED,2026-08-21,2026-09-06T14:21:00Z,4671.28,3790.25,AUD,Synthetic home claim 22,2026-09-06T15:21:00Z,brk_2001,cty_3002,HO-THE-02,REG-028,COV-HO-002,,STANDARD,0
fclm_900023,FILE-CLM-900023,pol_6002,cus_4002,PAID,2026-08-22,2026-09-07T15:22:00Z,3589.96,3008.00,AUD,Synthetic auto claim 23,2026-09-07T16:22:00Z,brk_2002,cty_3005,AU-COL-05,REG-035,COV-AU-005,VEH-00038,STANDARD,0
fclm_900024,FILE-CLM-900024,pol_6003,cus_4003,CLOSED,2026-08-23,2026-09-08T16:23:00Z,29599.75,11204.97,AUD,Synthetic home claim 24,2026-09-08T17:23:00Z,brk_2003,cty_3010,HO-THE-10,REG-002,COV-HO-010,,HIGH,1
fclm_900025,FILE-CLM-900025,pol_6001,cus_4001,SUBMITTED,2026-08-24,2026-09-01T09:24:00Z,36854.46,,AUD,Synthetic home claim 25,2026-09-01T10:24:00Z,brk_2001,cty_3002,HO-THE-02,REG-009,COV-HO-002,,STANDARD,0
fclm_900026,FILE-CLM-900026,pol_6002,cus_4002,UNDER_REVIEW,2026-08-25,2026-09-02T10:25:00Z,9693.28,,AUD,Synthetic auto claim 26,2026-09-02T11:25:00Z,brk_2002,cty_3005,AU-COL-05,REG-016,COV-AU-005,VEH-00038,STANDARD,0
fclm_900027,FILE-CLM-900027,pol_6003,cus_4003,APPROVED,2026-08-26,2026-09-03T11:26:00Z,44162.55,21822.76,AUD,Synthetic home claim 27,2026-09-03T12:26:00Z,brk_2003,cty_3010,HO-THE-10,REG-023,COV-HO-010,,HIGH,1
fclm_900028,FILE-CLM-900028,pol_6001,cus_4001,REJECTED,2026-08-27,2026-09-04T12:27:00Z,32060.98,24845.28,AUD,Synthetic home claim 28,2026-09-04T13:27:00Z,brk_2001,cty_3002,HO-THE-02,REG-030,COV-HO-002,,STANDARD,0
fclm_900029,FILE-CLM-900029,pol_6002,cus_4002,PAID,2026-08-28,2026-09-05T13:28:00Z,53075.09,21405.71,AUD,Synthetic auto claim 29,2026-09-05T14:28:00Z,brk_2002,cty_3005,AU-COL-05,REG-037,COV-AU-005,VEH-00038,HIGH,1
fclm_900030,FILE-CLM-900030,pol_6003,cus_4003,CLOSED,2026-08-29,2026-09-06T14:29:00Z,24077.22,14734.47,AUD,Synthetic home claim 30,2026-09-06T15:29:00Z,brk_2003,cty_3010,HO-THE-10,REG-004,COV-HO-010,,STANDARD,0
fclm_900031,FILE-CLM-900031,pol_6001,cus_4001,SUBMITTED,2026-08-20,2026-09-07T15:30:00Z,20119.72,,AUD,Synthetic home claim 31,2026-09-07T16:30:00Z,brk_2001,cty_3002,HO-THE-02,REG-011,COV-HO-002,,HIGH,1
fclm_900032,FILE-CLM-900032,pol_6002,cus_4002,UNDER_REVIEW,2026-08-21,2026-09-08T16:31:00Z,4389.14,,AUD,Synthetic auto claim 32,2026-09-08T17:31:00Z,brk_2002,cty_3005,AU-COL-05,REG-018,COV-AU-005,VEH-00038,STANDARD,0
fclm_900033,FILE-CLM-900033,pol_6003,cus_4003,APPROVED,2026-08-22,2026-09-01T09:32:00Z,28961.80,13000.03,AUD,Synthetic home claim 33,2026-09-01T10:32:00Z,brk_2003,cty_3010,HO-THE-10,REG-025,COV-HO-010,,HIGH,1
fclm_900034,FILE-CLM-900034,pol_6001,cus_4001,REJECTED,2026-08-23,2026-09-02T10:33:00Z,14625.48,5560.02,AUD,Synthetic home claim 34,2026-09-02T11:33:00Z,brk_2001,cty_3002,HO-THE-02,REG-032,COV-HO-002,,HIGH,1
fclm_900035,FILE-CLM-900035,pol_6002,cus_4002,PAID,2026-08-24,2026-09-03T11:34:00Z,47294.99,36977.48,AUD,Synthetic auto claim 35,2026-09-03T12:34:00Z,brk_2002,cty_3005,AU-COL-05,REG-039,COV-AU-005,VEH-00038,HIGH,1
fclm_900036,FILE-CLM-900036,pol_6003,cus_4003,CLOSED,2026-08-25,2026-09-04T12:35:00Z,8208.65,3650.73,AUD,Synthetic home claim 36,2026-09-04T13:35:00Z,brk_2003,cty_3010,HO-THE-10,REG-006,COV-HO-010,,HIGH,1
fclm_900037,FILE-CLM-900037,pol_6001,cus_4001,SUBMITTED,2026-08-26,2026-09-05T13:36:00Z,51654.68,,AUD,Synthetic home claim 37,2026-09-05T14:36:00Z,brk_2001,cty_3002,HO-THE-02,REG-013,COV-HO-002,,HIGH,1
fclm_900038,FILE-CLM-900038,pol_6002,cus_4002,UNDER_REVIEW,2026-08-27,2026-09-06T14:37:00Z,30957.05,,AUD,Synthetic auto claim 38,2026-09-06T15:37:00Z,brk_2002,cty_3005,AU-COL-05,REG-020,COV-AU-005,VEH-00038,STANDARD,0
fclm_900039,FILE-CLM-900039,pol_6003,cus_4003,APPROVED,2026-08-28,2026-09-07T15:38:00Z,25663.23,11743.56,AUD,Synthetic home claim 39,2026-09-07T16:38:00Z,brk_2003,cty_3010,HO-THE-10,REG-027,COV-HO-010,,STANDARD,0
fclm_900040,FILE-CLM-900040,pol_6001,cus_4001,REJECTED,2026-08-29,2026-09-08T16:39:00Z,18244.93,11127.05,AUD,Synthetic home claim 40,2026-09-08T17:39:00Z,brk_2001,cty_3002,HO-THE-02,REG-034,COV-HO-002,,STANDARD,0
fclm_900041,FILE-CLM-900041,pol_6002,cus_4002,PAID,2026-08-20,2026-09-01T09:40:00Z,32812.58,30062.82,AUD,Synthetic auto claim 41,2026-09-01T10:40:00Z,brk_2002,cty_3005,AU-COL-05,REG-001,COV-AU-005,VEH-00038,HIGH,1
fclm_900042,FILE-CLM-900042,pol_6003,cus_4003,CLOSED,2026-08-21,2026-09-02T10:41:00Z,37066.87,34865.36,AUD,Synthetic home claim 42,2026-09-02T11:41:00Z,brk_2003,cty_3010,HO-THE-10,REG-008,COV-HO-010,,HIGH,1
fclm_900043,FILE-CLM-900043,pol_6001,cus_4001,SUBMITTED,2026-08-22,2026-09-03T11:42:00Z,18180.84,,AUD,Synthetic home claim 43,2026-09-03T12:42:00Z,brk_2001,cty_3002,HO-THE-02,REG-015,COV-HO-002,,STANDARD,0
fclm_900044,FILE-CLM-900044,pol_6002,cus_4002,UNDER_REVIEW,2026-08-23,2026-09-04T12:43:00Z,11640.20,,AUD,Synthetic auto claim 44,2026-09-04T13:43:00Z,brk_2002,cty_3005,AU-COL-05,REG-022,COV-AU-005,VEH-00038,STANDARD,0
fclm_900045,FILE-CLM-900045,pol_6003,cus_4003,APPROVED,2026-08-24,2026-09-05T13:44:00Z,6197.71,5126.00,AUD,Synthetic home claim 45,2026-09-05T14:44:00Z,brk_2003,cty_3010,HO-THE-10,REG-029,COV-HO-010,,STANDARD,0
fclm_900046,FILE-CLM-900046,pol_6001,cus_4001,REJECTED,2026-08-25,2026-09-06T14:45:00Z,5831.70,4181.83,AUD,Synthetic home claim 46,2026-09-06T15:45:00Z,brk_2001,cty_3002,HO-THE-02,REG-036,COV-HO-002,,STANDARD,0
fclm_900047,FILE-CLM-900047,pol_6002,cus_4002,PAID,2026-08-26,2026-09-07T15:46:00Z,5319.98,3835.63,AUD,Synthetic auto claim 47,2026-09-07T16:46:00Z,brk_2002,cty_3005,AU-COL-05,REG-003,COV-AU-005,VEH-00038,STANDARD,0
fclm_900048,FILE-CLM-900048,pol_6003,cus_4003,CLOSED,2026-08-27,2026-09-08T16:47:00Z,31421.08,17955.03,AUD,Synthetic home claim 48,2026-09-08T17:47:00Z,brk_2003,cty_3010,HO-THE-10,REG-010,COV-HO-010,,HIGH,1
fclm_900049,FILE-CLM-900049,pol_6001,cus_4001,SUBMITTED,2026-08-28,2026-09-01T09:48:00Z,42228.48,,AUD,Synthetic home claim 49,2026-09-01T10:48:00Z,brk_2001,cty_3002,HO-THE-02,REG-017,COV-HO-002,,STANDARD,0
fclm_900050,FILE-CLM-900050,pol_6002,cus_4002,UNDER_REVIEW,2026-08-29,2026-09-02T10:49:00Z,4071.82,,AUD,Synthetic auto claim 50,2026-09-02T11:49:00Z,brk_2002,cty_3005,AU-COL-05,REG-024,COV-AU-005,VEH-00038,STANDARD,0
fclm_900051,FILE-CLM-900051,pol_6003,cus_4003,APPROVED,2026-08-20,2026-09-03T11:50:00Z,53825.32,50987.30,AUD,Synthetic home claim 51,2026-09-03T12:50:00Z,brk_2003,cty_3010,HO-THE-10,REG-031,COV-HO-010,,HIGH,1
fclm_900052,FILE-CLM-900052,pol_6001,cus_4001,REJECTED,2026-08-21,2026-09-04T12:51:00Z,18315.51,10774.90,AUD,Synthetic home claim 52,2026-09-04T13:51:00Z,brk_2001,cty_3002,HO-THE-02,REG-038,COV-HO-002,,STANDARD,0
