claim_type_id,claim_type_code,claim_type_name,product_type,claim_category,severity_band,severity_group,default_reserve_band,expected_resolution_days,high_risk_threshold_aud,active_flag,source_updated_at
cty_3001,AU-COL-01,Auto Collision,AUTO,COLLISION,LOW,LOW,0-5K,5,1500,1,2026-08-01T00:00:00Z
cty_3002,HO-THE-02,Home Theft,HOME,THEFT,MEDIUM,MEDIUM,5K-20K,14,5000,1,2026-08-01T00:00:00Z
cty_3003,TR-WEA-03,Travel Weather,TRAVEL,WEATHER,HIGH,HIGH,20K-50K,30,15000,1,2026-08-01T00:00:00Z
cty_3004,LI-FIR-04,Life Fire,LIFE,FIRE,CATASTROPHIC,CATASTROPHIC,50K+,60,40000,1,2026-08-01T00:00:00Z
cty_3005,AU-COL-05,Auto Collision,AUTO,COLLISION,LOW,LOW,0-5K,5,1500,1,2026-08-01T00:00:00Z
cty_3006,HO-THE-06,Home Theft,HOME,THEFT,MEDIUM,MEDIUM,5K-20K,14,5000,1,2026-08-01T00:00:00Z
cty_3007,TR-WEA-07,Travel Weather,TRAVEL,WEATHER,HIGH,HIGH,20K-50K,30,15000,1,2026-08-01T00:00:00Z
cty_3008,LI-FIR-08,Life Fire,LIFE,FIRE,CATASTROPHIC,CATASTROPHIC,50K+,60,40000,1,2026-08-01T00:00:00Z
cty_3009,AU-COL-09,Auto Collision,AUTO,COLLISION,LOW,LOW,0-5K,5,1500,1,2026-08-01T00:00:00Z
cty_3010,HO-THE-10,Home Theft,HOME,THEFT,MEDIUM,MEDIUM,5K-20K,14,5000,1,2026-08-01T00:00:00Z
cty_3011,TR-WEA-11,Travel Weather,TRAVEL,WEATHER,HIGH,HIGH,20K-50K,30,15000,1,2026-08-01T00:00:00Z
cty_3012,LI-FIR-12,Life Fire,LIFE,FIRE,CATASTROPHIC,CATASTROPHIC,50K+,60,40000,1,2026-08-01T00:00:00Z
cty_3013,AU-COL-13,Auto Collision,AUTO,COLLISION,LOW,LOW,0-5K,5,1500,1,2026-08-01T00:00:00Z
cty_3014,HO-THE-14,Home Theft,HOME,THEFT,MEDIUM,MEDIUM,5K-20K,14,5000,1,2026-08-01T00:00:00Z
cty_3015,TR-WEA-15,Travel Weather,TRAVEL,WEATHER,HIGH,HIGH,20K-50K,30,15000,1,2026-08-01T00:00:00Z
cty_3016,LI-FIR-16,Life Fire,LIFE,FIRE,CATASTROPHIC,CATASTROPHIC,50K+,60,40000,1,2026-08-01T00:00:00Z
