vehicle_code,make,model,model_year,vehicle_class,vehicle_type,market_value_aud,manufacture_year,value_band,engine_size_band,repair_cost_band,safety_rating,theft_risk_score,theft_risk_band,risk_category,source_updated_at
VEH-00001,Toyota,Sedan-1,2016,SEDAN,SEDAN,120000,2016,HIGH,SMALL,LOW,3,0.564,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00002,Mazda,Hatch-2,2009,HATCH,HATCH,9000,2009,LOW,MEDIUM,MEDIUM,2,0.738,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00003,Ford,SUV-3,2012,SUV,SUV,80000,2012,HIGH,LARGE,HIGH,2,0.096,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00004,Hyundai,Ute-4,2008,UTE,UTE,45000,2008,MEDIUM,ELECTRIC,LOW,5,0.358,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00005,Kia,Wagon-5,2021,WAGON,WAGON,45000,2021,MEDIUM,SMALL,MEDIUM,2,0.178,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00006,Subaru,Sedan-6,2013,SEDAN,SEDAN,42000,2013,MEDIUM,MEDIUM,HIGH,5,0.139,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00007,Honda,Hatch-7,2007,HATCH,HATCH,116000,2007,HIGH,LARGE,LOW,4,0.885,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00008,Tesla,SUV-8,2026,SUV,SUV,90000,2026,HIGH,ELECTRIC,MEDIUM,4,0.776,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00009,Toyota,Ute-9,2020,UTE,UTE,72000,2020,MEDIUM,SMALL,HIGH,4,0.481,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00010,Mazda,Wagon-10,2026,WAGON,WAGON,130000,2026,HIGH,MEDIUM,LOW,3,0.098,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00011,Ford,Sedan-11,2005,SEDAN,SEDAN,86000,2005,HIGH,LARGE,MEDIUM,3,0.436,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00012,Hyundai,Hatch-12,2006,HATCH,HATCH,117000,2006,HIGH,ELECTRIC,HIGH,2,0.165,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00013,Kia,SUV-13,2013,SUV,SUV,114000,2013,HIGH,SMALL,LOW,5,0.151,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00014,Subaru,Ute-14,2025,UTE,UTE,22000,2025,LOW,MEDIUM,MEDIUM,4,0.523,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00015,Honda,Wagon-15,2007,WAGON,WAGON,19000,2007,LOW,LARGE,HIGH,5,0.602,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00016,Tesla,Sedan-16,2007,SEDAN,SEDAN,105000,2007,HIGH,ELECTRIC,LOW,4,0.427,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00017,Toyota,Hatch-17,2014,HATCH,HATCH,65000,2014,MEDIUM,SMALL,MEDIUM,3,0.170,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00018,Mazda,SUV-1,2005,SUV,SUV,53000,2005,MEDIUM,MEDIUM,HIGH,4,0.078,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00019,Ford,Ute-2,2007,UTE,UTE,116000,2007,HIGH,LARGE,LOW,5,0.469,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00020,Hyundai,Wagon-3,2024,WAGON,WAGON,30000,2024,MEDIUM,ELECTRIC,MEDIUM,3,0.468,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00021,Kia,Sedan-4,2014,SEDAN,SEDAN,123000,2014,HIGH,SMALL,HIGH,5,0.888,HIGH,SPECIALIST,2026-08-01T00:00:00Z
