product_id,product_code,product_name,product_type,product_category,product_status,effective_from,effective_to,base_premium_aud,coverage_type,default_excess,risk_tier,underwriting_category,distribution_channel,max_sum_insured_aud,max_sum_insured,active_flag,expiry_date,source_updated_at
prd_5001,HOME-BASIC,Synthetic Home Basic,HOME,HOME,ACTIVE,2026-01-01,,2503.63,COMPREHENSIVE,250,LOW,STANDARD,BROKER,100000,100000,1,,2026-08-01T00:00:00Z
prd_5002,AUTO-PLUS,Synthetic Auto Plus,AUTO,AUTO,ACTIVE,2026-01-01,,1430.34,STANDARD,500,MEDIUM,PREFERRED,DIRECT,250000,250000,1,,2026-08-01T00:00:00Z
prd_5102,TRAVEL-FILE-003,Synthetic Travel Product 003,TRAVEL,TRAVEL,ACTIVE,2026-01-01,,2294.19,BASIC,1000,HIGH,SPECIALIST,PARTNER,500000,500000,1,,2026-08-01T00:00:00Z
prd_5103,LIFE-FILE-004,Synthetic Life Product 004,LIFE,LIFE,ACTIVE,2026-01-01,,1787.64,COMPREHENSIVE,250,LOW,STANDARD,BROKER,1000000,1000000,1,,2026-08-01T00:00:00Z
prd_5104,AUTO-FILE-005,Synthetic Auto Product 005,AUTO,AUTO,ACTIVE,2026-01-01,,567.79,STANDARD,500,MEDIUM,PREFERRED,DIRECT,100000,100000,1,,2026-08-01T00:00:00Z
prd_5105,HOME-FILE-006,Synthetic Home Product 006,HOME,HOME,ACTIVE,2026-01-01,,319.56,BASIC,1000,HIGH,SPECIALIST,PARTNER,250000,250000,1,,2026-08-01T00:00:00Z
prd_5106,TRAVEL-FILE-007,Synthetic Travel Product 007,TRAVEL,TRAVEL,ACTIVE,2026-01-01,,573.64,COMPREHENSIVE,250,LOW,STANDARD,BROKER,500000,500000,1,,2026-08-01T00:00:00Z
prd_5107,LIFE-FILE-008,Synthetic Life Product 008,LIFE,LIFE,ACTIVE,2026-01-01,,1847.31,STANDARD,500,MEDIUM,PREFERRED,DIRECT,1000000,1000000,1,,2026-08-01T00:00:00Z
prd_5108,AUTO-FILE-009,Synthetic Auto Product 009,AUTO,AUTO,ACTIVE,2026-01-01,,1158.14,BASIC,1000,HIGH,SPECIALIST,PARTNER,100000,100000,1,,2026-08-01T00:00:00Z
prd_5109,HOME-FILE-010,Synthetic Home Product 010,HOME,HOME,ACTIVE,2026-01-01,,1745.90,COMPREHENSIVE,250,LOW,STANDARD,BROKER,250000,250000,1,,2026-08-01T00:00:00Z
prd_5110,TRAVEL-FILE-011,Synthetic Travel Product 011,TRAVEL,TRAVEL,ACTIVE,2026-01-01,,945.26,STANDARD,500,MEDIUM,PREFERRED,DIRECT,500000,500000,1,,2026-08-01T00:00:00Z
prd_5111,LIFE-FILE-012,Synthetic Life Product 012,LIFE,LIFE,ACTIVE,2026-01-01,,373.99,BASIC,1000,HIGH,SPECIALIST,PARTNER,1000000,1000000,1,,2026-08-01T00:00:00Z
prd_5112,AUTO-FILE-013,Synthetic Auto Product 013,AUTO,AUTO,ACTIVE,2026-01-01,,2520.09,COMPREHENSIVE,250,LOW,STANDARD,BROKER,100000,100000,1,,2026-08-01T00:00:00Z
prd_5113,HOME-FILE-014,Synthetic Home Product 014,HOME,HOME,ACTIVE,2026-01-01,,1456.34,STANDARD,500,MEDIUM,PREFERRED,DIRECT,250000,250000,1,,2026-08-01T00:00:00Z
prd_5114,TRAVEL-FILE-015,Synthetic Travel Product 015,TRAVEL,TRAVEL,ACTIVE,2026-01-01,,2113.06,BASIC,1000,HIGH,SPECIALIST,PARTNER,500000,500000,1,,2026-08-01T00:00:00Z
prd_5115,LIFE-FILE-016,Synthetic Life Product 016,LIFE,LIFE,ACTIVE,2026-01-01,,414.25,COMPREHENSIVE,250,LOW,STANDARD,BROKER,1000000,1000000,1,,2026-08-01T00:00:00Z
prd_5116,AUTO-FILE-017,Synthetic Auto Product 017,AUTO,AUTO,ACTIVE,2026-01-01,,1044.16,STANDARD,500,MEDIUM,PREFERRED,DIRECT,100000,100000,1,,2026-08-01T00:00:00Z
prd_5117,HOME-FILE-018,Synthetic Home Product 018,HOME,HOME,ACTIVE,2026-01-01,,958.49,BASIC,1000,HIGH,SPECIALIST,PARTNER,250000,250000,1,,2026-08-01T00:00:00Z
prd_5118,TRAVEL-FILE-019,Synthetic Travel Product 019,TRAVEL,TRAVEL,ACTIVE,2026-01-01,,2008.92,COMPREHENSIVE,250,LOW,STANDARD,BROKER,500000,500000,1,,2026-08-01T00:00:00Z
prd_5119,LIFE-FILE-020,Synthetic Life Product 020,LIFE,LIFE,ACTIVE,2026-01-01,,703.28,STANDARD,500,MEDIUM,PREFERRED,DIRECT,1000000,1000000,1,,2026-08-01T00:00:00Z
prd_5120,AUTO-FILE-021,Synthetic Auto Product 021,AUTO,AUTO,ACTIVE,2026-01-01,,1412.01,BASIC,1000,HIGH,SPECIALIST,PARTNER,100000,100000,1,,2026-08-01T00:00:00Z
prd_5121,HOME-FILE-022,Synthetic Home Product 022,HOME,HOME,ACTIVE,2026-01-01,,2350.05,COMPREHENSIVE,250,LOW,STANDARD,BROKER,250000,250000,1,,2026-08-01T00:00:00Z
prd_5122,TRAVEL-FILE-023,Synthetic Travel Product 023,TRAVEL,TRAVEL,ACTIVE,2026-01-01,,2005.97,STANDARD,500,MEDIUM,PREFERRED,DIRECT,500000,500000,1,,2026-08-01T00:00:00Z
prd_5123,LIFE-FILE-024,Synthetic Life Product 024,LIFE,LIFE,ACTIVE,2026-01-01,,1354.94,BASIC,1000,HIGH,SPECIALIST,PARTNER,1000000,1000000,1,,2026-08-01T00:00:00Z
prd_5124,AUTO-FILE-025,Synthetic Auto Product 025,AUTO,AUTO,ACTIVE,2026-01-01,,683.22,COMPREHENSIVE,250,LOW,STANDARD,BROKER,100000,100000,1,,2026-08-01T00:00:00Z
prd_5125,HOME-FILE-026,Synthetic Home Product 026,HOME,HOME,ACTIVE,2026-01-01,,2133.95,STANDARD,500,MEDIUM,PREFERRED,DIRECT,250000,250000,1,,2026-08-01T00:00:00Z
prd_5126,TRAVEL-FILE-027,Synthetic Travel Product 027,TRAVEL,TRAVEL,ACTIVE,2026-01-01,,2540.47,BASIC,1000,HIGH,SPECIALIST,PARTNER,500000,500000,1,,2026-08-01T00:00:00Z
prd_5127,LIFE-FILE-028,Synthetic Life Product 028,LIFE,LIFE,RETIRED,2026-01-01,2026-12-31,893.18,COMPREHENSIVE,250,LOW,STANDARD,BROKER,1000000,1000000,0,2026-12-31,2026-08-01T00:00:00Z
prd_5128,AUTO-FILE-029,Synthetic Auto Product 029,AUTO,AUTO,RETIRED,2026-01-01,2026-12-31,639.27,STANDARD,500,MEDIUM,PREFERRED,DIRECT,100000,100000,0,2026-12-31,2026-08-01T00:00:00Z
prd_5129,HOME-FILE-030,Synthetic Home Product 030,HOME,HOME,RETIRED,2026-01-01,2026-12-31,1785.00,BASIC,1000,HIGH,SPECIALIST,PARTNER,250000,250000,0,2026-12-31,2026-08-01T00:00:00Z
