broker_id,broker_code,broker_name,branch_id,broker_status,commission_rate,years_experience,broker_tier,active_flag,effective_date,source_updated_at
brk_2001,BKR-0001,Synthetic Broker 001,brn_1001,ACTIVE,0.0641,11,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2002,BKR-0002,Synthetic Broker 002,brn_1002,ACTIVE,0.1291,23,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2003,BKR-0003,Synthetic Broker 003,brn_1003,ACTIVE,0.1014,11,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2004,BKR-0004,Synthetic Broker 004,brn_1004,ACTIVE,0.0546,19,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2005,BKR-0005,Synthetic Broker 005,brn_1005,ACTIVE,0.1156,22,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2006,BKR-0006,Synthetic Broker 006,brn_1006,ACTIVE,0.1117,19,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2007,BKR-0007,Synthetic Broker 007,brn_1007,ACTIVE,0.0768,6,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2008,BKR-0008,Synthetic Broker 008,brn_1008,ACTIVE,0.1378,2,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2009,BKR-0009,Synthetic Broker 009,brn_1009,ACTIVE,0.1327,26,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2010,BKR-0010,Synthetic Broker 010,brn_1010,ACTIVE,0.1045,14,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2011,BKR-0011,Synthetic Broker 011,brn_1011,ACTIVE,0.0844,2,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2012,BKR-0012,Synthetic Broker 012,brn_1012,ACTIVE,0.0531,21,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2013,BKR-0013,Synthetic Broker 013,brn_1013,ACTIVE,0.0642,8,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2014,BKR-0014,Synthetic Broker 014,brn_1014,ACTIVE,0.0400,14,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2015,BKR-0015,Synthetic Broker 015,brn_1015,ACTIVE,0.1272,1,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2016,BKR-0016,Synthetic Broker 016,brn_1016,ACTIVE,0.1225,22,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2017,BKR-0017,Synthetic Broker 017,brn_1017,ACTIVE,0.0611,25,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2018,BKR-0018,Synthetic Broker 018,brn_1018,ACTIVE,0.1402,22,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2019,BKR-0019,Synthetic Broker 019,brn_1019,ACTIVE,0.1345,14,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2020,BKR-0020,Synthetic Broker 020,brn_1020,ACTIVE,0.0832,9,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2021,BKR-0021,Synthetic Broker 021,brn_1001,ACTIVE,0.1289,5,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2022,BKR-0022,Synthetic Broker 022,brn_1002,ACTIVE,0.1263,11,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2023,BKR-0023,Synthetic Broker 023,brn_1003,ACTIVE,0.0653,21,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2024,BKR-0024,Synthetic Broker 024,brn_1004,ACTIVE,0.0667,24,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2025,BKR-0025,Synthetic Broker 025,brn_1005,ACTIVE,0.1441,9,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2026,BKR-0026,Synthetic Broker 026,brn_1006,ACTIVE,0.1113,17,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2027,BKR-0027,Synthetic Broker 027,brn_1007,ACTIVE,0.0508,2,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2028,BKR-0028,Synthetic Broker 028,brn_1008,ACTIVE,0.1112,9,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2029,BKR-0029,Synthetic Broker 029,brn_1009,ACTIVE,0.1348,6,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2030,BKR-0030,Synthetic Broker 030,brn_1010,ACTIVE,0.0494,28,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2031,BKR-0031,Synthetic Broker 031,brn_1011,ACTIVE,0.1289,14,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2032,BKR-0032,Synthetic Broker 032,brn_1012,ACTIVE,0.0358,2,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2033,BKR-0033,Synthetic Broker 033,brn_1013,ACTIVE,0.1022,17,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2034,BKR-0034,Synthetic Broker 034,brn_1014,ACTIVE,0.0881,13,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2035,BKR-0035,Synthetic Broker 035,brn_1015,ACTIVE,0.1111,28,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2036,BKR-0036,Synthetic Broker 036,brn_1016,ACTIVE,0.0790,14,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2037,BKR-0037,Synthetic Broker 037,brn_1017,ACTIVE,0.1397,3,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2038,BKR-0038,Synthetic Broker 038,brn_1018,ACTIVE,0.0399,8,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
