coverage_code,coverage_name,product_type,deductible_aud,coverage_limit_aud,coverage_tier,coverage_category,default_limit,default_excess,optional_flag,active_flag,source_updated_at
COV-AU-001,Auto Basic Cover,AUTO,250,25000,BASIC,AUTO,25000,250,0,1,2026-08-01T00:00:00Z
COV-HO-002,Home Standard Cover,HOME,500,50000,STANDARD,HOME,50000,500,0,1,2026-08-01T00:00:00Z
COV-TR-003,Travel Plus Cover,TRAVEL,750,100000,PLUS,TRAVEL,100000,750,1,1,2026-08-01T00:00:00Z
COV-LI-004,Life Premium Cover,LIFE,1000,250000,PREMIUM,LIFE,250000,1000,1,1,2026-08-01T00:00:00Z
COV-AU-005,Auto Ultimate Cover,AUTO,1500,500000,ULTIMATE,AUTO,500000,1500,1,1,2026-08-01T00:00:00Z
COV-HO-006,Home Basic Cover,HOME,250,25000,BASIC,HOME,25000,250,0,1,2026-08-01T00:00:00Z
COV-TR-007,Travel Standard Cover,TRAVEL,500,50000,STANDARD,TRAVEL,50000,500,0,1,2026-08-01T00:00:00Z
COV-LI-008,Life Plus Cover,LIFE,750,100000,PLUS,LIFE,100000,750,1,1,2026-08-01T00:00:00Z
COV-AU-009,Auto Premium Cover,AUTO,1000,250000,PREMIUM,AUTO,250000,1000,1,1,2026-08-01T00:00:00Z
COV-HO-010,Home Ultimate Cover,HOME,1500,500000,ULTIMATE,HOME,500000,1500,1,1,2026-08-01T00:00:00Z
COV-TR-011,Travel Basic Cover,TRAVEL,250,25000,BASIC,TRAVEL,25000,250,0,1,2026-08-01T00:00:00Z
COV-LI-012,Life Standard Cover,LIFE,500,50000,STANDARD,LIFE,50000,500,0,1,2026-08-01T00:00:00Z
COV-AU-013,Auto Plus Cover,AUTO,750,100000,PLUS,AUTO,100000,750,1,1,2026-08-01T00:00:00Z
COV-HO-014,Home Premium Cover,HOME,1000,250000,PREMIUM,HOME,250000,1000,1,1,2026-08-01T00:00:00Z
COV-TR-015,Travel Ultimate Cover,TRAVEL,1500,500000,ULTIMATE,TRAVEL,500000,1500,1,1,2026-08-01T00:00:00Z
COV-LI-016,Life Basic Cover,LIFE,250,25000,BASIC,LIFE,25000,250,0,1,2026-08-01T00:00:00Z
COV-AU-017,Auto Standard Cover,AUTO,500,50000,STANDARD,AUTO,50000,500,0,1,2026-08-01T00:00:00Z
COV-HO-018,Home Plus Cover,HOME,750,100000,PLUS,HOME,100000,750,1,1,2026-08-01T00:00:00Z
COV-TR-019,Travel Premium Cover,TRAVEL,1000,250000,PREMIUM,TRAVEL,250000,1000,1,1,2026-08-01T00:00:00Z
COV-LI-020,Life Ultimate Cover,LIFE,1500,500000,ULTIMATE,LIFE,500000,1500,1,1,2026-08-01T00:00:00Z
