region_code,state_code,region_name,catastrophe_risk_score,theft_risk_score,weather_risk_score,risk_tier,urban_rural_class,accident_risk_score,natural_hazard_risk_score,overall_risk_band,effective_date,source_updated_at
REG-001,NSW,NSW Synthetic Risk Area 1,0.821,0.268,0.239,MEDIUM,RURAL,0.663,0.821,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-002,VIC,VIC Synthetic Risk Area 1,0.682,0.525,0.802,MEDIUM,URBAN,0.159,0.682,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-003,QLD,QLD Synthetic Risk Area 1,0.237,0.166,0.69,MEDIUM,URBAN,0.761,0.237,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-004,SA,SA Synthetic Risk Area 1,0.386,0.136,0.731,MEDIUM,RURAL,0.297,0.386,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-005,WA,WA Synthetic Risk Area 1,0.199,0.286,0.288,LOW,URBAN,0.456,0.199,LOW,2026-01-01,2026-08-01T00:00:00Z
REG-006,TAS,TAS Synthetic Risk Area 1,0.743,0.612,0.881,HIGH,URBAN,0.607,0.743,HIGH,2026-01-01,2026-08-01T00:00:00Z
REG-007,ACT,ACT Synthetic Risk Area 1,0.556,0.199,0.64,MEDIUM,RURAL,0.592,0.556,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-008,NT,NT Synthetic Risk Area 1,0.901,0.067,0.421,MEDIUM,URBAN,0.658,0.901,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-009,NSW,NSW Synthetic Risk Area 2,0.297,0.871,0.285,MEDIUM,URBAN,0.476,0.297,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-010,VIC,VIC Synthetic Risk Area 2,0.502,0.334,0.901,MEDIUM,RURAL,0.489,0.502,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-011,QLD,QLD Synthetic Risk Area 2,0.649,0.558,0.851,HIGH,URBAN,0.837,0.649,HIGH,2026-01-01,2026-08-01T00:00:00Z
REG-012,SA,SA Synthetic Risk Area 2,0.76,0.609,0.126,MEDIUM,URBAN,0.788,0.76,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-013,WA,WA Synthetic Risk Area 2,0.733,0.684,0.538,MEDIUM,RURAL,0.574,0.733,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-014,TAS,TAS Synthetic Risk Area 2,0.274,0.736,0.303,MEDIUM,URBAN,0.848,0.274,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-015,ACT,ACT Synthetic Risk Area 2,0.657,0.427,0.828,MEDIUM,URBAN,0.919,0.657,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-016,NT,NT Synthetic Risk Area 2,0.355,0.245,0.216,LOW,RURAL,0.715,0.355,LOW,2026-01-01,2026-08-01T00:00:00Z
REG-017,NSW,NSW Synthetic Risk Area 3,0.665,0.292,0.132,MEDIUM,URBAN,0.293,0.665,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-018,VIC,VIC Synthetic Risk Area 3,0.361,0.578,0.565,MEDIUM,URBAN,0.784,0.361,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-019,QLD,QLD Synthetic Risk Area 3,0.469,0.786,0.9,HIGH,RURAL,0.22,0.469,HIGH,2026-01-01,2026-08-01T00:00:00Z
REG-020,SA,SA Synthetic Risk Area 3,0.129,0.481,0.541,MEDIUM,URBAN,0.89,0.129,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-021,WA,WA Synthetic Risk Area 3,0.524,0.787,0.125,MEDIUM,URBAN,0.399,0.524,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-022,TAS,TAS Synthetic Risk Area 3,0.688,0.363,0.289,MEDIUM,RURAL,0.859,0.688,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-023,ACT,ACT Synthetic Risk Area 3,0.486,0.149,0.308,LOW,URBAN,0.589,0.486,LOW,2026-01-01,2026-08-01T00:00:00Z
REG-024,NT,NT Synthetic Risk Area 3,0.376,0.758,0.214,MEDIUM,URBAN,0.61,0.376,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-025,NSW,NSW Synthetic Risk Area 4,0.636,0.743,0.454,MEDIUM,RURAL,0.713,0.636,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-026,VIC,VIC Synthetic Risk Area 4,0.401,0.211,0.139,LOW,URBAN,0.09,0.401,LOW,2026-01-01,2026-08-01T00:00:00Z
REG-027,QLD,QLD Synthetic Risk Area 4,0.437,0.132,0.354,LOW,URBAN,0.772,0.437,LOW,2026-01-01,2026-08-01T00:00:00Z
REG-028,SA,SA Synthetic Risk Area 4,0.217,0.339,0.846,MEDIUM,RURAL,0.22,0.217,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-029,WA,WA Synthetic Risk Area 4,0.17,0.289,0.412,LOW,URBAN,0.812,0.17,LOW,2026-01-01,2026-08-01T00:00:00Z
REG-030,TAS,TAS Synthetic Risk Area 4,0.778,0.851,0.167,MEDIUM,URBAN,0.84,0.778,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-031,ACT,ACT Synthetic Risk Area 4,0.774,0.305,0.921,MEDIUM,RURAL,0.183,0.774,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-032,NT,NT Synthetic Risk Area 4,0.822,0.062,0.299,MEDIUM,URBAN,0.789,0.822,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-033,NSW,NSW Synthetic Risk Area 5,0.732,0.407,0.795,MEDIUM,URBAN,0.554,0.732,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-034,VIC,VIC Synthetic Risk Area 5,0.088,0.646,0.448,MEDIUM,RURAL,0.44,0.088,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-035,QLD,QLD Synthetic Risk Area 5,0.635,0.801,0.651,HIGH,URBAN,0.293,0.635,HIGH,2026-01-01,2026-08-01T00:00:00Z
REG-036,SA,SA Synthetic Risk Area 5,0.195,0.846,0.936,MEDIUM,URBAN,0.369,0.195,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-037,WA,WA Synthetic Risk Area 5,0.841,0.728,0.165,MEDIUM,RURAL,0.765,0.841,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-038,TAS,TAS Synthetic Risk Area 5,0.554,0.671,0.737,MEDIUM,URBAN,0.93,0.554,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
REG-039,ACT,ACT Synthetic Risk Area 5,0.204,0.18,0.489,LOW,URBAN,0.711,0.204,LOW,2026-01-01,2026-08-01T00:00:00Z
REG-040,NT,NT Synthetic Risk Area 5,0.424,0.504,0.667,MEDIUM,RURAL,0.114,0.424,MEDIUM,2026-01-01,2026-08-01T00:00:00Z
