branch_id,branch_code,branch_name,region_code,state_code,city,branch_status,manager_code,active_flag,source_updated_at
brn_1001,BR-001,Sydney Branch 1,REG-001,NSW,Sydney,ACTIVE,MGR-001,1,2026-08-01T00:00:00Z
brn_1002,BR-002,Melbourne Branch 1,REG-002,VIC,Melbourne,ACTIVE,MGR-002,1,2026-08-01T00:00:00Z
brn_1003,BR-003,Brisbane Branch 1,REG-003,QLD,Brisbane,ACTIVE,MGR-003,1,2026-08-01T00:00:00Z
brn_1004,BR-004,Adelaide Branch 1,REG-004,SA,Adelaide,ACTIVE,MGR-004,1,2026-08-01T00:00:00Z
brn_1005,BR-005,Perth Branch 1,REG-005,WA,Perth,ACTIVE,MGR-005,1,2026-08-01T00:00:00Z
brn_1006,BR-006,Hobart Branch 1,REG-006,TAS,Hobart,ACTIVE,MGR-006,1,2026-08-01T00:00:00Z
brn_1007,BR-007,Canberra Branch 1,REG-007,ACT,Canberra,ACTIVE,MGR-007,1,2026-08-01T00:00:00Z
brn_1008,BR-008,Darwin Branch 1,REG-008,NT,Darwin,ACTIVE,MGR-008,1,2026-08-01T00:00:00Z
brn_1009,BR-009,Sydney Branch 2,REG-009,NSW,Sydney,ACTIVE,MGR-009,1,2026-08-01T00:00:00Z
brn_1010,BR-010,Melbourne Branch 2,REG-010,VIC,Melbourne,ACTIVE,MGR-010,1,2026-08-01T00:00:00Z
brn_1011,BR-011,Brisbane Branch 2,REG-011,QLD,Brisbane,ACTIVE,MGR-011,1,2026-08-01T00:00:00Z
brn_1012,BR-012,Adelaide Branch 2,REG-012,SA,Adelaide,ACTIVE,MGR-012,1,2026-08-01T00:00:00Z
brn_1013,BR-013,Perth Branch 2,REG-013,WA,Perth,ACTIVE,MGR-013,1,2026-08-01T00:00:00Z
brn_1014,BR-014,Hobart Branch 2,REG-014,TAS,Hobart,ACTIVE,MGR-014,1,2026-08-01T00:00:00Z
brn_1015,BR-015,Canberra Branch 2,REG-015,ACT,Canberra,ACTIVE,MGR-015,1,2026-08-01T00:00:00Z
brn_1016,BR-016,Darwin Branch 2,REG-016,NT,Darwin,ACTIVE,MGR-016,1,2026-08-01T00:00:00Z
brn_1017,BR-017,Sydney Branch 3,REG-017,NSW,Sydney,ACTIVE,MGR-017,1,2026-08-01T00:00:00Z
brn_1018,BR-018,Melbourne Branch 3,REG-018,VIC,Melbourne,ACTIVE,MGR-018,1,2026-08-01T00:00:00Z
brn_1019,BR-019,Brisbane Branch 3,REG-019,QLD,Brisbane,INACTIVE,MGR-019,0,2026-08-01T00:00:00Z
brn_1020,BR-020,Adelaide Branch 3,REG-020,SA,Adelaide,INACTIVE,MGR-020,0,2026-08-01T00:00:00Z
